test,arch,platform,passed,status,extra_args,qemu,qemu_time,ram_size,rom_size
samples/philosophers/nanokernel/test,x86,arduino_101,True,,,False,,11460,13992
tests/bluetooth/init/test_0,x86,qemu_x86,True,,CONF_FILE=prj_0.conf,True,,31370,23034
tests/kernel/test_pipe_priv/test,x86,quark_se_devboard,True,,,False,,16744,33419
tests/bluetooth/init/test_0,x86,arduino_101,True,,CONF_FILE=prj_0.conf,False,,13116,29994
tests/kernel/test_stack/nanokernel/test,arm,olimexino_stm32,True,,,False,,9928,11616
tests/kernel/test_arm_m3_irq_vector_table/test,arm,stm32_mini_a15,True,,,False,,3616,14712
samples/philosophers/nanokernel/test,x86,qemu_x86_iamcu,True,,,True,,17581,8209
tests/kernel/test_pipe/test,arm,qemu_cortex_m3,True,,,True,9.717853546142578,14652,23100
tests/kernel/test_map_priv/test,x86,qemu_x86_iamcu,True,,,True,0.24874496459960938,26435,15847
tests/kernel/test_stackprot/microkernel/test,arm,frdm_k64f,True,,,False,,10996,17324
tests/bluetooth/init/test_15,arm,arduino_due,True,,CONF_FILE=prj_15.conf,False,,13704,42128
tests/bluetooth/test_bluetooth/test_micro,x86,quark_se_devboard,True,,,False,,13468,27599
tests/kernel/test_fifo_priv/test,arm,qemu_cortex_m3,True,,,True,0.1658482551574707,10588,14680
tests/benchmark/footprint/microkernel/footprint-max,x86,qemu_x86,True,,TEST=max,True,,44697,36097
tests/kernel/test_fifo/microkernel/test,x86,quark_se_devboard,True,,,False,,12616,28536
tests/kernel/test_map/test,x86,qemu_x86,True,,,True,0.8647005558013916,26836,16244
tests/benchmark/sys_kernel/microkernel/test,x86,quark_se_devboard,True,,,False,,31836,28231
tests/kernel/test_stackprot/microkernel/test,x86,qemu_x86_iamcu,True,,,True,0.23653221130371094,24879,16355
tests/kernel/test_sema/nanokernel/test,x86,qemu_x86_iamcu,True,,,True,9.650104761123657,22486,15882
tests/kernel/test_sema_priv/test,x86,qemu_x86,True,,,True,12.7177734375,33451,18355
tests/kernel/test_pipe/test,x86,minnowboard,True,,,False,,39876,28388
